country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Australia,AUS,9/03/2022,54749553,22111780,20596172,90219,72523,212.3,85.74,79.87,2812
Australia,AUS,10/03/2022,54842227,22117596,20626131,92674,73482,212.66,85.77,79.98,2849
Australia,AUS,11/03/2022,54948620,22124182,20661863,106393,75727,213.08,85.79,80.12,2936
Australia,AUS,12/03/2022,55020466,22128293,20696352,71846,78680,213.36,85.81,80.26,3051
Australia,AUS,13/03/2022,55054842,22130630,20714246,34376,80350,213.49,85.82,80.32,3116
Australia,AUS,14/03/2022,55128376,22135420,20743572,73534,79763,213.77,85.84,80.44,3093
Australia,AUS,15/03/2022,55224388,22141043,20780753,96012,80722,214.15,85.86,80.58,3130
Australia,AUS,16/03/2022,55316946,22146677,20817597,92558,81056,214.5,85.88,80.73,3143
Australia,AUS,17/03/2022,55408135,22152482,20852962,91189,80844,214.86,85.9,80.86,3135
Australia,AUS,18/03/2022,55507339,22158259,20893155,99204,79817,215.24,85.92,81.02,3095
Australia,AUS,19/03/2022,55577748,22162034,20931268,70409,79612,215.52,85.94,81.17,3087
Australia,AUS,20/03/2022,55613993,22163996,20952845,36245,79879,215.66,85.95,81.25,3097
Australia,AUS,21/03/2022,55700491,22169145,20988310,86498,81731,215.99,85.97,81.39,3169
Australia,AUS,22/03/2022,55783094,22174087,21020180,82603,79815,216.31,85.99,81.51,3095
Australia,AUS,23/03/2022,55854308,22178419,21043844,71214,76766,216.59,86,81.6,2977
Australia,AUS,24/03/2022,55932910,22183299,21072503,78602,74968,216.89,86.02,81.71,2907
Australia,AUS,25/03/2022,56017618,22188155,21104880,84708,72897,217.22,86.04,81.84,2827
Australia,AUS,26/03/2022,56077605,22191506,21136762,59987,71408,217.45,86.05,81.96,2769
Australia,AUS,27/03/2022,56107787,22193476,21153372,30182,70542,217.57,86.06,82.03,2735
Australia,AUS,28/03/2022,56179315,22198092,21179377,71528,68403,217.85,86.08,82.13,2652
Australia,AUS,29/03/2022,56242913,22202366,21200432,63598,65688,218.1,86.1,82.21,2547
