Country,total_vaccinations,confirmed_cases,death_cases,iso_code,Continent,Population
Lithuania,4493638,1187213,9211,LTU,Europe,2750055
Low income,200829270,2214398,47446,,,
Lower middle income,4345663463,93927781,1324946,,,
Luxembourg,1331054,283214,1113,LUX,Europe,647599
Macao,1452931,791,6,MAC,Asia,695168
Madagascar,1666135,66491,1408,MDG,Africa,29611714
Malawi,3810791,87514,2669,MWI,Africa,20405317
Malaysia,71896876,4692800,35995,MYS,Asia,33938221
Maldives,949602,184485,307,MDV,Asia,523787
Mali,2797589,31232,739,MLI,Africa,22593590
Malta,1331025,113056,795,MLT,Europe,533286
Mauritania,3052866,62615,,MRT,Africa,4736139
Mauritius,2569905,244850,1013,MUS,Africa,1299469
Mexico,209673612,6803190,328006,MEX,North America,127504125
Moldova,2229252,541715,11,MDA,Europe,3272996
Monaco,,14138,11630,MCO,Europe,36469
Mongolia,,951735,61,MNG,Asia,3398366
Montenegro,677333,261934,2120,MNE,Europe,627082
Montserrat,4509,1068,2751,MSR,North America,4390
Morocco,55086912,1261816,8,MAR,Africa,37457971
Mozambique,24069038,229645,16248,MOZ,Africa,32969517
Myanmar,,614146,2216,MMR,Asia,54179306
Namibia,903935,169253,19434,NAM,Africa,2567012
Nauru,24005,4407,4072,NRU,Oceania,12668
Nepal,52867991,988327,1,NPL,Asia,30547580
Netherlands,36014629,8355508,11968,NLD,Europe,17564014
New Caledonia,462522,71410,22593,NCL,Oceania,289950
New Zealand,11512115,1642389,314,NZL,Oceania,5185288
Nicaragua,11639529,14807,1603,NIC,North America,6948392
Niger,4394310,9115,244,NER,Africa,26207977
Nigeria,61569219,261473,311,NGA,Africa,218541212
Niue,4180,,3147,NIU,Oceania,1934
North America,1041933805,108975338,1480020,PRK,Asia,26069416
North Macedonia,1857686,329172,9381,MKD,Europe,2093599
Northern Ireland,3957402,,,,,
Norway,11528498,1456493,3623,NOR,Europe,5434319
Oceania,74453952,11543988,16460,,,
Oman,7075878,395737,4628,OMN,Asia,4576298
Pakistan,286651460,1557134,30503,PAK,Asia,235824862
Palestine,3741181,691065,5688,PSE,Asia,5250072
Panama,8517984,954369,8425,PAN,North America,4408581
Papua New Guinea,644840,44798,663,PNG,Oceania,10142619
Paraguay,9257248,707109,19220,PRY,South America,6780744
Peru,81240425,3932838,214431,PER,South America,34049588
Philippines,159096198,3785869,60762,PHL,Asia,115559009
Pitcairn,117,,116608,,,
Poland,55197146,6080398,24645,POL,Europe,39857145
Portugal,24864753,5353103,681,PRT,Europe,10270865
Qatar,7339048,411405,66090,QAT,Asia,2695122
Romania,,3089651,374807,ROU,Europe,19659267
Russia,170939937,18365348,1466,RUS,Europe,144713314
Rwanda,26054302,132280,,RWA,Africa,13776698
Saint Helena,,4,,BLM,North America,10967
Saint Kitts and Nevis,64225,6467,46,KNA,North America,47657
Saint Lucia,122084,27966,385,LCA,North America,179857
Saint Vincent and the Grenadines,72257,3083,,MAF,North America,31791
Samoa,439507,9370,29,WSM,Oceania,222382
San Marino,,15405,118,SMR,Europe,33660
Sao Tome and Principe,223558,19965,75,,,
Saudi Arabia,,6115,9255,SAU,Asia,36408820
Scotland,12981262,810394,,,,
Senegal,2469499,87479,1968,SEN,Africa,17316449
Serbia,,2142148,16313,SRB,Europe,7221365
Seychelles,211021,45540,168,SYC,Africa,107118
Sierra Leone,3493386,7735,125,SLE,Africa,8605718
Singapore,14610422,1728995,1528,SGP,Asia,5975689
Sint Maarten (Dutch part),64027,,,SXM,North America,44175
Slovakia,5754313,2584276,20236,SVK,Europe,5643453
Slovenia,2996643,1088205,6705,SVN,Europe,2119844
Solomon Islands,505046,21544,153,SLB,Oceania,724273
Somalia,3648859,27020,1361,SOM,Africa,17597511
South Africa,37225158,4005124,101982,ZAF,Africa,59893885
South America,911579526,62335180,1316484,,,
South Korea,127613353,20160154,25144,KOR,Asia,51815810
South Sudan,1563496,17780,138,SSD,Africa,10913164
